Paper Title,Year,Author,Citation,Publication,Url of paper
Numerical model for storm surges in Galveston Bay,1968.0,RO Reid,298,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/JWHEAU.0000553
"[HTML][HTML] A modeling study of coastal inundation induced by storm surge, sea-level rise, and subsidence in the Gulf of Mexico",2014.0,Z Yang,62,Springer,https://link.springer.com/article/10.1007/s11069-013-0974-6
"US IOOS coastal and ocean modeling testbed: Evaluation of tide, wave, and hurricane surge response sensitivities to mesh resolution and friction in the Gulf of Mexico",2013.0,PC Kerr,84,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/jgrc.20305
[PDF][PDF] … and resiliency planning using sea-level rise and storm-surge scenario impact estimates in Corpus Christi Bay. A report to the Coastal Bend Bays and Estuaries …,2013.0,J Brenner,2,cbbep.org,https://www.cbbep.org/publications/publication1306b.pdf
Validation of Delft3D as a Coastal Surge and Inundation Prediction System,2016.0,J Veeramony,5,apps.dtic.mil,https://apps.dtic.mil/sti/citations/ADA631769
[HTML][HTML] A basin-to channel-scale unstructured grid hurricane storm surge model applied to southern Louisiana,2008.0,JJ Westerink,571,journals.ametsoc.org,https://journals.ametsoc.org/view/journals/mwre/136/3/2007mwr1946.1.xml?tab_body=fulltext-display
A Study of the Potential Impact of Deepening the Corpus Christi Ship Channel on Hurricane Storm Surge,2022.0,E Valseth,0,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2022AGUFMNH32C0472V/abstract
Assessment of flood risk due to storm surge in coastal bayous using dynamic hydraulic modeling,2009.0,T Ray,5,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/41036(342)655
Learning Storm Surge with Gradient Boosting,2204.0,B Pachev,0,arxiv.org,https://arxiv.org/abs/2204.13168
[PDF][PDF] Texas Coastal Bend Regional Climate Change Vulnerability Assessment,2016.0,M Murdock,1,cakex.org,https://www.cakex.org/sites/default/files/project/documents/Texas%20Coastal%20Bend%20Regional%20Climate%20Change%20Vulnerability%20Assessment%20.pdf
[BOOK][B] A methodological approach for pricing flood insurance and evaluating loss reduction measures: Application to Texas,2012.0,J Czajkowski,23,riskcenter.wharton.upenn.edu,https://riskcenter.wharton.upenn.edu/wp-content/uploads/2019/07/WhartonRiskCenter_TexasFloodInsurancePricingStudy_ExecSummary.pdf
A numerical study of sea level and current responses to Hurricane Frederic using a coastal ocean model for the Gulf of Mexico,1994.0,L Ngoc,15,Springer,https://link.springer.com/article/10.1007/BF02270494
Hurricane Ike: Observations and analysis of coastal change,2009.0,KS Doran,31,pubs.usgs.gov,https://pubs.usgs.gov/of/2009/1061/
"Sea Level Rise Effect on Hurricane Storm Surge, Inundation Extent, and Nearshore Waves along the Texas Coast",2012.0,JH Atkinson,0,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2012AGUFMNH21A1588A/abstract
"Evaluating sea-level rise hazards on coastal archaeological sites, Trinity Bay, Texas",2021.0,P Elliott,10,Francis,https://www.tandfonline.com/doi/abs/10.1080/15564894.2019.1701149
Moving boundary numerical surge model,1979.0,GT Yeh,36,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/JWPCDX.0000152
"Impact of Sea Level Rise on the Attenuation of Hurricane Storm Surge by Wetlands in Corpus Christi, TX",2011.0,C Ferreira,0,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2011AGUFMOS33A1631F/abstract
"Addressing Uncertainty in Residential Damage Estimates from Tropical Cyclone Storm Surge, with a Focus on Variability in Structure Elevations",2017.0,JN Irza,2,scholarship.rice.edu,https://scholarship.rice.edu/handle/1911/95569
[HTML][HTML] Discontinuous Galerkin methods for modeling hurricane storm surge,2011.0,C Dawson,99,Elsevier,https://www.sciencedirect.com/science/article/pii/S0309170810002137
"[BOOK][B] … , waves, and storm surge processes for Hurricanes Ike (2008) and Sandy (2012) and the integration of hydrologic processes into a coastal circulation model",2015.0,ME Hope,2,search.proquest.com,https://search.proquest.com/openview/bec14acd6a96872a592f02be603c5e86/1?pq-origsite=gscholar&cbl=18750
Vulnerability to hurricane damage on the US Gulf Coast since 1950,2015.0,JR Logan,27,Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1931-0846.2014.12064.x
[HTML][HTML] Surface trajectories of oil transport along the Northern Coastline of the Gulf of Mexico,2012.0,JC Dietrich,101,Elsevier,https://www.sciencedirect.com/science/article/pii/S0278434312000799
[HTML][HTML] Modeling wave effects on storm surge and coastal inundation,2018.0,G Wu,70,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378383918301388
[HTML][HTML] Coastal flooding: impacts of coupled wave–surge–tide models,2009.0,J Wolf,174,Springer,https://link.springer.com/article/10.1007/s11069-008-9316-5
"… stratigraphy for building numerical models of ground-water flow: case study of the heterogeneous Gulf Coast aquifer in Matagorda and Wharton Counties, Texas",1994.0,AR Dutton,9,archives.datapages.com,https://archives.datapages.com/data/gcags/data/044/044001/0185.htm
The value of coastal wetlands for hurricane protection,2008.0,R Costanza,905,JSTOR,https://www.jstor.org/stable/25547893
[HTML][HTML] Effects of nonlinear terms and topography in a storm surge model along the southeastern coast of China: a case study of Typhoon Chan-hom,2021.0,X Zhang,7,Springer,https://link.springer.com/article/10.1007/s11069-021-04595-y
A hurricane evacuation management decision support system (EMDSS),2007.0,MK Lindell,116,Springer,https://link.springer.com/article/10.1007/s11069-006-9013-1
Modeling tidal dynamics and tidal datums along the coasts of Texas and Western Louisiana,2009.0,J Xu,2,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/41121(388)30
Storm surge modeling in the Gulf of Mexico and Houston-Galveston regions,2022.0,BA Ebersole,0,Elsevier,https://www.sciencedirect.com/science/article/pii/B9780323852517000032
Evacuation shelter deficits for socially vulnerable Texas residents during Hurricane Harvey,2019.0,IM Karaye,27,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/2333392819848885
[BOOK][B] A PROBABILISTIC FORECASTING MODEL OF TROPICAL CYCLONE-GENERATED STORM SURGE FOR A STRAIGHT COASTLINE (CHARACTERISTIC …,1984.0,CC Lai,0,search.proquest.com,https://search.proquest.com/openview/d9213335f46b29ed8cee563e2c3e1748/1?pq-origsite=gscholar&cbl=18750&diss=y
[PDF][PDF] An evaluation of the potential of coastal wetlands for hurricane surge and wave energy reduction,2010.0,NM Loder,6,core.ac.uk,https://core.ac.uk/download/pdf/4277297.pdf
"Performance of the unstructured-mesh, SWAN+ ADCIRC model in computing hurricane waves and surge",2012.0,JC Dietrich,341,Springer,https://link.springer.com/article/10.1007/s10915-011-9555-6
[HTML][HTML] Hurricane recovery and ecological resilience: Measuring the impacts of wetland alteration post Hurricane Ike on the upper TX coast,2017.0,MY Reja,28,Springer,https://link.springer.com/article/10.1007/s00267-017-0943-z
"Detecting coastline change with all available landsat data over 1986–2015: A case study for the state of Texas, USA",2018.0,N Xu,90,mdpi.com,https://www.mdpi.com/2073-4433/9/3/107
"Effects of Hurricane Celia, a focus on environmental geologic problems of the Texas coastal zone.",1970.0,JH McGowen,40,tamug-ir.tdl.org,https://tamug-ir.tdl.org/handle/1969.3/19990
Machine Learning Based Surrogate Model for Hurricane Storm Surge Forecasting in the Laguna Madre,2022.0,CE Davila,0,scholarworks.utrgv.edu,https://scholarworks.utrgv.edu/etd/850/
[BOOK][B] Hurricane experience levels of coastal county populations from Texas to Maine,1992.0,JD Jarrell,91,books.google.com,"https://books.google.com/books?hl=en&lr=&id=U8oOAQAAMAAJ&oi=fnd&pg=PA1&dq=Coastal+Surge,+model,++texas&ots=8uBoshMehI&sig=7aTQhtB94YDGrzyHc8IECQUAVqY"
Future hurricane storm surge risk for the US gulf and Florida coasts based on projections of thermodynamic potential intensity,2016.0,K Balaguru,36,Springer,https://link.springer.com/article/10.1007/s10584-016-1728-8%23auth-L__Ruby-Leung
Tide and storm surge predictions using finite element model,1992.0,JJ Westerink,226,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/(ASCE)0733-9429(1992)118:10(1373)
[HTML][HTML] A parallel local timestepping Runge–Kutta discontinuous Galerkin method with applications to coastal ocean modeling,2013.0,C Dawson,41,Elsevier,https://www.sciencedirect.com/science/article/pii/S0045782513000662
Methods evaluating the economic effects of coastal dunes in reducing storm-induced property damage: Hurricane Ike and Texas coast case study,2015.0,JM Sigren,2,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/9780784480304.011
[HTML][HTML] STWAVE simulation of Hurricane Ike: Model results and comparison to data,2013.0,C Bender,20,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378383912001603
Forecasting hurricane impact on coastal topography,2010.0,NG Plant,39,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2010EO070001
"[HTML][HTML] Joint effects of storm surge and sea-level rise on US Coasts: new economic estimates of impacts, adaptation, and benefits of mitigation policy",2015.0,JE Neumann,174,Springer,https://link.springer.com/article/10.1007/s10584-014-1304-z
[HTML][HTML] Tropical cyclone induced asymmetry of sea level surge and fall and its presentation in a storm surge model with parametric wind fields,2006.0,M Peng,60,Elsevier,https://www.sciencedirect.com/science/article/pii/S1463500306000291
[HTML][HTML] Modeling the dissipation of storm surge by coastal wetlands,2013.0,AJ Lapetina,1,search.proquest.com,https://search.proquest.com/openview/afee6bd0bb206bad266e55350bca0abd/1?pq-origsite=gscholar&cbl=18750
Remote sensing of floods and flood-prone areas: An overview,2015.0,V Klemas,191,meridian.allenpress.com,https://meridian.allenpress.com/jcr/article-abstract/31/4/1005/145361
"Hurricane Storm Surge Sedimentation on McFaddin National Wildlife Refuge, Texas: Spatial Variations in Sediment Distribution in the Right-Front Quadrant of …",2022.0,J Hodge,0,meetingorganizer.copernicus.org,https://meetingorganizer.copernicus.org/ICG2022/ICG2022-383.html
"Improvements in hurricane surge response functions: Incorporating the effects of forward speed, approach angle, and sea level rise",2011.0,IE Udoh,7,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/41170(400)71
